created_at,full_text,tweet_url,text_clean,text_StopWord,text_tokens,text_steamindo,polarity,subjectivity,sentiment,Sentiment
Tue Nov 09 11:34:22 +0000 2021,Sering ngerasa online class kurang efektif? Kalo iya ini thread yang cocok buat lo baca. https://t.co/SxNDqhO3Qb,https://x.com/undefined/status/1458035229365452800,sering ngerasa online class kurang efektif kalo iya ini thread yang cocok buat lo baca ,ngerasa online class efektif thread cocok lo baca,"['ngerasa', 'online', 'class', 'efektif', 'thread', 'cocok', 'lo', 'baca']",ngerasa online class efektif thread cocok lo baca,0.0,0.0,,Negatif
Thu Oct 13 04:59:08 +0000 2022,PBK sekarang bisa daring! Tutorial pemindahbukuan secara daring. - Sebuah Utas - https://t.co/XSPD3Hgjku,https://x.com/undefined/status/1580422865253326849,pbk sekarang bisa daring tutorial pemindahbukuan secara daring  sebuah utas  ,pbk daring tutorial pemindahbukuan daring utas,"['pbk', 'daring', 'tutorial', 'pemindahbukuan', 'daring', 'utas']",pbk daring tutorial pemindahbukuan daring utas,0.0,0.0,,Negatif
Wed Jun 30 14:52:27 +0000 2021,setelah setahun lebih kuliah online jadi inget 2019 kaya ternyata seru ya kuliah offline meskipun tugas tetep banyak tp enjoy aja gt ngerjainnya karena bareng temen2 lain. abis kelas lgsg mampir kosan temen buat nugas makan atau numpang tidur..,https://x.com/undefined/status/1410249879796944898,setelah setahun lebih kuliah online jadi inget  kaya ternyata seru ya kuliah offline meskipun tugas tetep banyak tp enjoy aja gt ngerjainnya karena bareng temen lain abis kelas lgsg mampir kosan temen buat nugas makan atau numpang tidur,setahun kuliah online inget kaya seru kuliah offline tugas tetep tp enjoy gt ngerjainnya bareng temen abis kelas lgsg mampir kosan temen nugas makan numpang tidur,"['setahun', 'kuliah', 'online', 'inget', 'kaya', 'seru', 'kuliah', 'offline', 'tugas', 'tetep', 'tp', 'enjoy', 'gt', 'ngerjainnya', 'bareng', 'temen', 'abis', 'kelas', 'lgsg', 'mampir', 'kosan', 'temen', 'nugas', 'makan', 'numpang', 'tidur']",tahun kuliah online inget kaya seru kuliah offline tugas tetep tp enjoy gt ngerjainnya bareng temen abis kelas lgsg mampir kosan temen nugas makan numpang tidur,0.4,0.5,,Positif
Tue Jul 13 08:56:54 +0000 2021,KKN online nih akal-akalan siapa sih? #TerminalMojok https://t.co/qg3GyL208H,https://x.com/undefined/status/1414871444446584832,kkn online nih akalakalan siapa sih terminalmojok ,kkn online akalakalan terminalmojok,"['kkn', 'online', 'akalakalan', 'terminalmojok']",kkn online akalakalan terminalmojok,0.0,0.0,,Negatif
Mon Jan 11 05:59:52 +0000 2021, KELAS ONLINE GRATIS PERSIAPAN UTBK 2021! Pahami materi UTBK dengan lebih seru bareng Rockstar Teacher Pahamify di Kelas Online UTBK GRATIS! 11-15 Januari 2021 ⏰ 16.00 &amp; 19.00 WIB Catet jadwalnya di bawah ini! LIVE dan GRATIS di aplikasi Pahamify! #PahamnyaLIVE https://t.co/tl1KXfhNOo,https://x.com/undefined/status/1348509913304100865, kelas online gratis persiapan utbk  pahami materi utbk dengan lebih seru bareng rockstar teacher pahamify di kelas online utbk gratis  januari    amp  wib catet jadwalnya di bawah ini live dan gratis di aplikasi pahamify pahamnyalive ,kelas online gratis persiapan utbk pahami materi utbk seru bareng rockstar teacher pahamify kelas online utbk gratis januari wib catet jadwalnya live gratis aplikasi pahamify pahamnyalive,"['kelas', 'online', 'gratis', 'persiapan', 'utbk', 'pahami', 'materi', 'utbk', 'seru', 'bareng', 'rockstar', 'teacher', 'pahamify', 'kelas', 'online', 'utbk', 'gratis', 'januari', 'wib', 'catet', 'jadwalnya', 'live', 'gratis', 'aplikasi', 'pahamify', 'pahamnyalive']",kelas online gratis siap utbk paham materi utbk seru bareng rockstar teacher pahamify kelas online utbk gratis januari wib catet jadwal live gratis aplikasi pahamify pahamnyalive,0.17045454545454544,0.5,,Positif
Wed Jul 28 13:25:05 +0000 2021,Free Live Class Butet Mengajar Bahas Soal Asli PK UTBK 2021 Sabtu 31 Juli 2021 Pukul 19.30 WIB Pendaftaran: https://t.co/SubvnA8FHt https://t.co/niGglShmij,https://x.com/undefined/status/1420374754964295686,free live class butet mengajar bahas soal asli pk utbk  sabtu  juli  pukul  wib pendaftaran  ,free live class butet mengajar bahas asli pk utbk sabtu juli wib pendaftaran,"['free', 'live', 'class', 'butet', 'mengajar', 'bahas', 'asli', 'pk', 'utbk', 'sabtu', 'juli', 'wib', 'pendaftaran']",free live class butet ajar bahas asli pk utbk sabtu juli wib daftar,0.2681818181818182,0.65,,Positif
Wed May 19 09:17:22 +0000 2021,lebih suka kuliah offline tugas banyak daripada kuliah online tapi tugas banyak kuliah online tugas numpuk tuh rasanya segunung dipikul sendirian hampa dan nggak ketemu siapa-siapa. akhirnya yang roboh malah mental dan psikis mahasiswa. udahlah intinyaa capek!,https://x.com/undefined/status/1394945263458930689,lebih suka kuliah offline tugas banyak daripada kuliah online tapi tugas banyak kuliah online tugas numpuk tuh rasanya segunung dipikul sendirian hampa dan nggak ketemu siapasiapa akhirnya yang roboh malah mental dan psikis mahasiswa udahlah intinyaa capek,suka kuliah offline tugas kuliah online tugas kuliah online tugas numpuk segunung dipikul hampa ketemu siapasiapa roboh mental psikis mahasiswa udahlah intinyaa capek,"['suka', 'kuliah', 'offline', 'tugas', 'kuliah', 'online', 'tugas', 'kuliah', 'online', 'tugas', 'numpuk', 'segunung', 'dipikul', 'hampa', 'ketemu', 'siapasiapa', 'roboh', 'mental', 'psikis', 'mahasiswa', 'udahlah', 'intinyaa', 'capek']",suka kuliah offline tugas kuliah online tugas kuliah online tugas numpuk gunung pikul hampa ketemu siapasiapa roboh mental psikis mahasiswa udahlah intinyaa capek,-0.125,0.2,,Negatif
Sat Jan 08 09:31:22 +0000 2022,Bocoran jodoh PTN 2022 dengan huruf awal nama kamu A P C T W S L Y U &gt;&gt; UI B G U E D I Q O V &gt;&gt; ITB R YO Z H K D M F &gt;&gt; UGM F J V M S L T Z C &gt;&gt; UNIBRAW X N O W Y U H I &gt;&gt; UNAIR,https://x.com/undefined/status/1479747550114562051,bocoran jodoh ptn  dengan huruf awal nama kamu a p c t w s l y u gtgt ui b g u e d i q o v gtgt itb r yo z h k d m f gtgt ugm f j v m s l t z c gtgt unibraw x n o w y u h i gtgt unair,bocoran jodoh ptn huruf nama a p c w s l y gtgt ui b g e d i q o v gtgt itb r z h k d m f gtgt ugm f j v m s l z c gtgt unibraw x o w y h i gtgt unair,"['bocoran', 'jodoh', 'ptn', 'huruf', 'nama', 'a', 'p', 'c', 'w', 's', 'l', 'y', 'gtgt', 'ui', 'b', 'g', 'e', 'd', 'i', 'q', 'o', 'v', 'gtgt', 'itb', 'r', 'z', 'h', 'k', 'd', 'm', 'f', 'gtgt', 'ugm', 'f', 'j', 'v', 'm', 's', 'l', 'z', 'c', 'gtgt', 'unibraw', 'x', 'o', 'w', 'y', 'h', 'i', 'gtgt', 'unair']",bocor jodoh ptn huruf nama a p c w s l y gtgt ui b g e d i q o v gtgt itb r z h k d m f gtgt ugm f j v m s l z c gtgt unibraw x o w y h i gtgt unair,0.0,0.0,,Negatif
Sat Aug 21 01:55:35 +0000 2021,Semangat belajar enggak kenal usia kan ya? Saya pingin nglanjutin kuliah lagi S2 Psikologi. Kondisi gini lagi nyari-nyari yang semua proses pembelajaran dari awal sampe akhir bisa online. Tapi keliatannya belum ada kampus yang seperti itu ya?,https://x.com/undefined/status/1428898546082729986,semangat belajar enggak kenal usia kan ya saya pingin nglanjutin kuliah lagi s psikologi kondisi gini lagi nyarinyari yang semua proses pembelajaran dari awal sampe akhir bisa online tapi keliatannya belum ada kampus yang seperti itu ya,semangat belajar kenal usia pingin nglanjutin kuliah s psikologi kondisi gini nyarinyari proses pembelajaran sampe online keliatannya kampus,"['semangat', 'belajar', 'kenal', 'usia', 'pingin', 'nglanjutin', 'kuliah', 's', 'psikologi', 'kondisi', 'gini', 'nyarinyari', 'proses', 'pembelajaran', 'sampe', 'online', 'keliatannya', 'kampus']",semangat ajar kenal usia pingin nglanjutin kuliah s psikologi kondisi gin nyarinyari proses ajar sampe online liat kampus,0.0,0.0,,Negatif
Mon Jul 05 13:01:45 +0000 2021,1. Sebisa mungkin jangan cuma ngandelin materi kuliah Udah kuliahnya skrg online bs jd ga 100% masuk kayak offline. Apalagi hal2 seperti praktikum diskusi langsung dsb. Usahain cari alternatif lain buat belajar dan tambah skill baru. Perlu jd adaptif ga trbatas sm jurusan,https://x.com/undefined/status/1412033961673428996, sebisa mungkin jangan cuma ngandelin materi kuliah udah kuliahnya skrg online bs jd ga  masuk kayak offline apalagi hal seperti praktikum diskusi langsung dsb usahain cari alternatif lain buat belajar dan tambah skill baru perlu jd adaptif ga trbatas sm jurusan,sebisa ngandelin materi kuliah kuliahnya skrg online bs masuk kayak offline praktikum diskusi langsung dsb usahain cari alternatif belajar skill adaptif trbatas sm jurusan,"['sebisa', 'ngandelin', 'materi', 'kuliah', 'kuliahnya', 'skrg', 'online', 'bs', 'masuk', 'kayak', 'offline', 'praktikum', 'diskusi', 'langsung', 'dsb', 'usahain', 'cari', 'alternatif', 'belajar', 'skill', 'adaptif', 'trbatas', 'sm', 'jurusan']",bisa ngandelin materi kuliah kuliah skrg online bs masuk kayak offline praktikum diskusi langsung dsb usahain cari alternatif ajar skill adaptif trbatas sm jurus,0.0,0.0,,Negatif
Tue Mar 02 12:53:27 +0000 2021,Supaya belajar onlinenya seru tambah add-on IndiHome Study yuk! Sobat bisa bebas akses buku digital soal try out &amp; nonton video pembahasan soal pelajaran kapan aja di mana aja. Info lengkap cek https://t.co/3SLOxGVDrO #InternetnyaIndonesia #MajuTerusBersamaIndiHome https://t.co/rm9StWTuzm,https://x.com/undefined/status/1366733391559749633,supaya belajar onlinenya seru tambah addon indihome study yuk sobat bisa bebas akses buku digital soal try out amp nonton video pembahasan soal pelajaran kapan aja di mana aja info lengkap cek  internetnyaindonesia majuterusbersamaindihome ,belajar onlinenya seru addon indihome study yuk sobat bebas akses buku digital try out nonton video pembahasan pelajaran info lengkap cek internetnyaindonesia majuterusbersamaindihome,"['belajar', 'onlinenya', 'seru', 'addon', 'indihome', 'study', 'yuk', 'sobat', 'bebas', 'akses', 'buku', 'digital', 'try', 'out', 'nonton', 'video', 'pembahasan', 'pelajaran', 'info', 'lengkap', 'cek', 'internetnyaindonesia', 'majuterusbersamaindihome']",ajar onlinenya seru addon indihome study yuk sobat bebas akses buku digital try out nonton video bahas ajar info lengkap cek internetnyaindonesia majuterusbersamaindihome,0.0,0.0,,Negatif
Tue Aug 24 00:55:43 +0000 2021,Orang tua yang mau mantau anaknya belajar saat menjalani PJJ bisa berpatokan pada kata kerja Bloom seperti contoh di bawah ini. Coba saja pertanyakan apakah yang dilakukan anak sesuai dengan tujuan belajar yang ingin dicapai? https://t.co/OFRCiKGrJs,https://x.com/undefined/status/1429970644393893893,orang tua yang mau mantau anaknya belajar saat menjalani pjj bisa berpatokan pada kata kerja bloom seperti contoh di bawah ini coba saja pertanyakan apakah yang dilakukan anak sesuai dengan tujuan belajar yang ingin dicapai ,orang tua mantau anaknya belajar menjalani pjj berpatokan kerja bloom contoh coba anak sesuai tujuan belajar dicapai,"['orang', 'tua', 'mantau', 'anaknya', 'belajar', 'menjalani', 'pjj', 'berpatokan', 'kerja', 'bloom', 'contoh', 'coba', 'anak', 'sesuai', 'tujuan', 'belajar', 'dicapai']",orang tua mantau anak ajar jalan pjj patok kerja bloom contoh coba anak sesuai tuju ajar capai,0.0,0.0,,Negatif
Thu Apr 15 08:52:38 +0000 2021,Sepertinya banyak yang bingung kegiatan after utbk ya ok gue coba kasih ide 1) Online Free Course Kalo lagi bebas gini coba deh ikutan kursus online yang ada di internet! Kan lumayan tuh sambil ngisi waktu + bisa kembangin skills https://t.co/thaQHv6sU7,https://x.com/undefined/status/1382617853854056449,sepertinya banyak yang bingung kegiatan after utbk ya ok gue coba kasih ide  online free course kalo lagi bebas gini coba deh ikutan kursus online yang ada di internet kan lumayan tuh sambil ngisi waktu  bisa kembangin skills ,bingung kegiatan after utbk coba ide online free course bebas gini coba deh ikutan kursus online internet lumayan ngisi kembangin skills,"['bingung', 'kegiatan', 'after', 'utbk', 'coba', 'ide', 'online', 'free', 'course', 'bebas', 'gini', 'coba', 'deh', 'ikutan', 'kursus', 'online', 'internet', 'lumayan', 'ngisi', 'kembangin', 'skills']",bingung giat after utbk coba ide online free course bebas gin coba deh ikut kursus online internet lumayan ngisi kembangin skills,0.5,0.65,,Positif
Mon Nov 06 12:25:19 +0000 2023,Kelas Gratis Persiapan UTBK-SNBT 2024 BERHADIAH PAKET BELAJAR &amp; TO PPU: Ide Pokok dan Kesimpulan (Materi Prioritas) Kamis 9 November 2023 ⌚19.15−20.15 WIB Eksklusif di ZOOM https://t.co/KPlJXpoFKF bisa juga nonton di youtube https://t.co/NZhnUZfEtP https://t.co/oWvVstmsOu,https://x.com/undefined/status/1721504029560520821,kelas gratis persiapan utbksnbt  berhadiah paket belajar amp to ppu ide pokok dan kesimpulan materi prioritas kamis  november   wib eksklusif di zoom  bisa juga nonton di youtube  ,kelas gratis persiapan utbksnbt berhadiah paket belajar to ppu ide pokok kesimpulan materi prioritas kamis november wib eksklusif zoom nonton youtube,"['kelas', 'gratis', 'persiapan', 'utbksnbt', 'berhadiah', 'paket', 'belajar', 'to', 'ppu', 'ide', 'pokok', 'kesimpulan', 'materi', 'prioritas', 'kamis', 'november', 'wib', 'eksklusif', 'zoom', 'nonton', 'youtube']",kelas gratis siap utbksnbt hadiah paket ajar to ppu ide pokok simpul materi prioritas kamis november wib eksklusif zoom nonton youtube,0.0,0.0,,Negatif
Thu Dec 09 16:13:45 +0000 2021,Ada salah satu edtech (kursus) online &amp; offline di Jakarta yang manajemennya gaberes puluhan korbannya menunggu ketidakjelasan kapan lulus student nya ngamuk².,https://x.com/undefined/status/1468977175323762694,ada salah satu edtech kursus online amp offline di jakarta yang manajemennya gaberes puluhan korbannya menunggu ketidakjelasan kapan lulus student nya ngamuk,salah edtech kursus online offline jakarta manajemennya gaberes puluhan korbannya menunggu ketidakjelasan lulus student ngamuk,"['salah', 'edtech', 'kursus', 'online', 'offline', 'jakarta', 'manajemennya', 'gaberes', 'puluhan', 'korbannya', 'menunggu', 'ketidakjelasan', 'lulus', 'student', 'ngamuk']",salah edtech kursus online offline jakarta manajemen gaberes puluh korban tunggu ketidakjelasan lulus student ngamuk,0.0,0.0,,Negatif
